QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",125263-103020:Puka Nacua,125263-103020,WR,Puka,Puka Nacua,Nacua,20.53125,16,10000,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-6654:Matthew Stafford,125263-6654,QB,Matthew,Matthew Stafford,Stafford,21.787059110753678,17,8300,LAR@CAR,LAR,CAR,,,,,,QB
"","","","","","","","","","",125263-45889:Davante Adams,125263-45889,WR,Davante,Davante Adams,Adams,13.992856706891741,14,8000,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-104433:Kyren Williams,125263-104433,RB,Kyren,Kyren Williams,Williams,14.605882532456341,17,8000,LAR@CAR,LAR,CAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-72731:Josh Jacobs,125263-72731,RB,Josh,Josh Jacobs,Jacobs,14.606667073567708,15,7900,GB@CHI,GB,CHI,,,,,,RB/FLEX
"","","","","","","","","","",125263-152113:Caleb Williams,125263-152113,QB,Caleb,Caleb Williams,Williams,19.24588192210478,17,7800,GB@CHI,CHI,GB,,,,,,QB
"","","","","","","","","","",125263-167620:Tetairoa McMillan,125263-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,10.72941140567555,17,7500,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-69017:Jordan Love,125263-69017,QB,Jordan,Jordan Love,Love,16.475999959309895,15,7400,GB@CHI,GB,CHI,,,,,,QB
"","","","","","","","","","",125263-72297:Rico Dowdle,125263-72297,RB,Rico,Rico Dowdle,Dowdle,12.105882532456341,17,7200,LAR@CAR,CAR,LAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-119606:Bryce Young,125263-119606,QB,Bryce,Bryce Young,Young,14.6899995803833,16,6900,LAR@CAR,CAR,LAR,,,,,,QB
